gid,건물1,건물2,건물3,관공서,전기차,주차장,충전소,변압기,전기안전관,lon,lat,교통량,경제인구
다사68ba60ba,0,1,0,0,0,0,0,0,0,127.1443531,37.64457026,,337
다사86ab59ab,0,0,0,0,0,0,0,0,0,127.3455779,37.63373845,,0
다사72ab63ab,1,1,0,0,0,0,0,0,0,127.1867559,37.6694773,,8
다사72aa69aa,19,0,0,0,0,0,0,0,0,127.1837011,37.72129581,100,99
다사80ba69aa,0,0,0,0,0,0,0,0,0,127.2801502,37.72151512,,0
다사74aa66ab,17,1,0,0,0,0,0,0,0,127.2064927,37.69656813,100,114
다사82aa48ba,0,0,0,0,0,0,0,0,0,127.2976722,37.53677067,,0
다사69bb62ba,6,0,0,0,0,0,0,0,0,127.1584395,37.66263867,100,0
다사86aa65ba,44,0,0,0,0,0,0,0,0,127.3426256,37.69006837,100,8
다사70ab56ab,0,8,0,0,0,0,0,0,0,127.1643619,37.60632178,100,771
다사65ba64ab,1,0,0,0,0,0,0,0,0,127.110171,37.67826239,100,8
다사81bb51ab,1,0,0,0,0,0,0,0,0,127.2947745,37.56155301,,0
다사71ba68aa,5,0,0,0,0,0,0,0,0,127.1780666,37.71226726,100,17
다사76aa55ba,15,0,0,0,0,0,0,0,0,127.2295306,37.59972902,100,39
다사67ba63aa,11,6,0,0,0,0,0,0,0,127.132907,37.66706865,100,466
다사87ba60aa,4,0,0,0,0,0,0,0,0,127.3597323,37.64051622,100,23
다사78aa62aa,0,4,0,1,1,0,0,0,0,127.2519929,37.65836577,100,441
다사69aa57bb,0,0,0,0,0,0,0,0,0,127.1501369,37.61980065,,0
다사81ba55ab,1,0,0,0,0,0,0,0,0,127.2918435,37.59760199,100,22
다사71ab68ba,4,2,0,2,0,0,0,0,0,127.1752106,37.71676607,100,348
다사85aa65bb,14,0,0,0,0,0,0,0,0,127.3312782,37.69230602,100,6
