adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
동대문구  청량리동 225-21,2021-09-30,1,191750,동대문구,천호대로37길,127.0449103,37.58338346
동대문구 답십리제2동 장한로6길 63,2021-10-01,3,67970,고양시,일산서구,127.069191,37.5623666
동대문구 답십리제2동,2021-10-01,2,221900,동대문구,천호대로85길,127.0612863,37.5673274
동대문구 답십리제2동 답십리1동 475-69,2021-10-07,2,198530,동대문구,답십리로,127.051779,37.5731602
동대문구  장안동 103-16,2021-10-07,1,119280,은평구,응암로,127.070001,37.5701957
동대문구  장한로29길34,2021-10-07,1,69950,동대문구,장한로,127.0698941,37.57439714
동대문구  답십리로65길22-10,2021-10-07,2,55760,동대문구,한천로26길,127.0696456,37.57341061
동대문구 사가정로20길9 ,2021-10-08,3,210120,동대문구,답십리로52길,127.066597,37.57801879
동대문구 한천로33길19,2021-10-08,2,360980,동대문구,서울시립대로8길,127.066904,37.57632808
동대문구,2021-10-08,2,45490,동대문구,회기로,127.039657,37.57452298
동대문구 답십리제2동 전농동 213-34,2021-10-12,3,83640,동대문구,전농로17길,127.051319,37.5797466
동대문구 답십리제2동 141-171번지 ,2021-10-12,3,83640,동대문구,사가정로,127.052083,37.5702679
동대문구  휘경동 보호관찰소,2021-10-12,4,533120,중랑구,공릉로2가길,127.068181,37.5856397
동대문구 답십리제2동 전농동 456-6,2021-10-12,2,264420,노원구,월계로53길,127.055689,37.5797356
동대문구  장한로28가길115,2021-10-13,2,334380,동대문구,사가정로,127.072799,37.57811406
