학교종류명,설립구분,학교명,도로명주소
고등학교,공립,한성과학고등학교,서울특별시 서대문구 통일로 279-79
고등학교,공립,태릉고등학교,서울특별시 중랑구 신내로23길 36
고등학교,공립,청량고등학교,서울특별시 동대문구 왕산로 303
고등학교,공립,청담고등학교,서울특별시 강남구 압구정로 419
고등학교,공립,창덕여자고등학교,서울특별시 송파구 양재대로 1240
고등학교,공립,중화고등학교,서울특별시 중랑구 봉화산로27길 62
고등학교,공립,중경고등학교,서울특별시 용산구 이촌로84길 34
고등학교,공립,잠실고등학교,서울특별시 송파구 올림픽로33길 71
고등학교,공립,잠신고등학교,서울특별시 송파구 잠실로 24
고등학교,공립,자양고등학교,서울특별시 광진구 뚝섬로37길 28
고등학교,공립,인헌고등학교,서울특별시 관악구 인헌9길 74
고등학교,공립,용산고등학교,서울특별시 용산구 두텁바위로 60
고등학교,공립,오금고등학교,서울특별시 송파구 중대로 247
고등학교,공립,영신고등학교,서울 영등포구 대방천로14길 18
고등학교,공립,영등포여자고등학교,서울특별시 영등포구 영등포로62길 13
고등학교,공립,영등포고등학교,서울특별시 동작구 등용로8길 5
고등학교,공립,여의도여자고등학교,서울특별시 영등포구 국제금융로7가길 13
고등학교,공립,여의도고등학교,서울특별시 영등포구 국제금융로7길 37
고등학교,공립,언남고등학교,서울 서초구 동산로13길 35
고등학교,공립,양재고등학교,서울특별시 서초구 남부순환로346길 9
고등학교,공립,신목고등학교,서울특별시 양천구 안양천로 739
고등학교,공립,신림고등학교,서울특별시 관악구 문성로 119
고등학교,공립,수도여자고등학교,서울특별시 동작구 여의대방로10길 73
고등학교,공립,성동고등학교,서울특별시 중구 퇴계로90길 17
고등학교,공립,석관고등학교,서울특별시 성북구 한천로70길 30
고등학교,공립,서초고등학교,서울특별시 서초구 반포대로27길 29
고등학교,공립,서울체육고등학교,서울특별시 송파구 강동대로 232
고등학교,공립,서울여자고등학교,서울특별시 마포구 백범로25길 34
고등학교,공립,서울과학고등학교,서울특별시 종로구 혜화로 63
고등학교,공립,서울고등학교,서울특별시 서초구 효령로 197
고등학교,공립,상계고등학교,서울특별시 노원구 노해로 432
고등학교,공립,삼성고등학교,서울특별시 관악구 신림로 41
고등학교,공립,반포고등학교,서울특별시 서초구 고무래로 71
고등학교,공립,무학여자고등학교,서울특별시 성동구 고산자로 197
고등학교,공립,명일여자고등학교,서울특별시 강동구 명일로 350
고등학교,공립,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
고등학교,공립,둔촌고등학교,서울특별시 강동구 명일로 140
고등학교,공립,동작고등학교,서울특별시 동작구 솔밭로 51
고등학교,공립,대영고등학교,서울특별시 영등포구 도림로86길 16
고등학교,공립,당곡고등학교,서울특별시 관악구 봉천로21길 108
고등학교,공립,금천고등학교,서울특별시 금천구 시흥대로38길 26
고등학교,공립,금옥여자고등학교,서울특별시 양천구 신정로 213
고등학교,공립,구일고등학교,서울특별시 구로구 구일로 90-51
고등학교,공립,구로고등학교,서울특별시 구로구 가마산로27길 45
고등학교,공립,광양고등학교,서울특별시 광진구 자양로3가길 31
고등학교,공립,광남고등학교,서울특별시 광진구 아차산로70길 17-16
고등학교,공립,관악고등학교,서울특별시 영등포구 영등포로6길 26
고등학교,공립,공항고등학교,서울특별시 강서구 방화대로34길 43
고등학교,공립,고척고등학교,서울특별시 구로구 중앙로15길 162
고등학교,공립,경복고등학교,서울특별시 종로구 자하문로28가길 9
고등학교,공립,경동고등학교,서울특별시 성북구 보문로29길 49
고등학교,공립,경기여자고등학교,서울특별시 강남구 삼성로 29
고등학교,공립,경기고등학교,서울특별시 강남구 영동대로 643
고등학교,공립,개포고등학교,서울특별시 강남구 개포로 402
고등학교,공립,가락고등학교,서울특별시 송파구 송이로 42
고등학교,국립,국립전통예술고등학교,서울특별시 금천구 시흥대로38길 62
고등학교,국립,국립국악고등학교,서울특별시 강남구 개포로22길 65
